,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
59,2019,,NBA Finals,Toronto Raptors,2,230.0,Golden State Warriors,1,-270.0,1,6.0
60,2019,Eastern,Conf Finals,Milwaukee Bucks,1,-270.0,Toronto Raptors,2,230.0,2,6.0
61,2019,Western,Conf Finals,Golden State Warriors,1,-550.0,Portland Trail Blazers,3,425.0,1,4.0
62,2019,Eastern,Conf Semis,Milwaukee Bucks,1,-360.0,Boston Celtics,4,300.0,1,5.0
63,2019,Eastern,Conf Semis,Toronto Raptors,2,-290.0,Philadelphia 76ers,3,245.0,1,7.0
64,2019,Western,Conf Semis,Golden State Warriors,1,-280.0,Houston Rockets,4,240.0,1,6.0
65,2019,Western,Conf Semis,Denver Nuggets,2,-145.0,Portland Trail Blazers,3,125.0,2,7.0
66,2019,Eastern,Round 1,Milwaukee Bucks,1,-3500.0,Detroit Pistons,8,1750.0,1,4.0
67,2019,Eastern,Round 1,Toronto Raptors,2,-1200.0,Orlando Magic,7,775.0,1,5.0
68,2019,Eastern,Round 1,Philadelphia 76ers,3,-600.0,Brooklyn Nets,6,450.0,1,5.0
69,2019,Eastern,Round 1,Boston Celtics,4,-465.0,Indiana Pacers,5,370.0,1,4.0
70,2019,Western,Round 1,Golden State Warriors,1,-15000.0,Los Angeles Clippers,8,6000.0,1,6.0
71,2019,Western,Round 1,Denver Nuggets,2,-270.0,San Antonio Spurs,7,230.0,1,7.0
72,2019,Western,Round 1,Portland Trail Blazers,3,145.0,Oklahoma City Thunder,6,-165.0,1,5.0
73,2019,Western,Round 1,Houston Rockets,4,-310.0,Utah Jazz,5,255.0,1,5.0
74,2018,,NBA Finals,Golden State Warriors,2,-1075.0,Cleveland Cavaliers,4,688.0,1,4.0
75,2018,Eastern,Conf Finals,Boston Celtics,2,235.0,Cleveland Cavaliers,4,-275.0,2,7.0
76,2018,Western,Conf Finals,Houston Rockets,1,170.0,Golden State Warriors,2,-200.0,2,7.0
77,2018,Eastern,Conf Semis,Toronto Raptors,1,-190.0,Cleveland Cavaliers,4,165.0,2,4.0
78,2018,Eastern,Conf Semis,Boston Celtics,2,415.0,Philadelphia 76ers,3,-525.0,1,5.0
79,2018,Western,Conf Semis,Houston Rockets,1,-1500.0,Utah Jazz,5,1000.0,1,5.0
80,2018,Western,Conf Semis,Golden State Warriors,2,-1050.0,New Orleans Pelicans,6,675.0,1,5.0
81,2018,Eastern,Round 1,Toronto Raptors,1,-630.0,Washington Wizards,8,465.0,1,6.0
82,2018,Eastern,Round 1,Boston Celtics,2,-150.0,Milwaukee Bucks,7,130.0,1,7.0
83,2018,Eastern,Round 1,Philadelphia 76ers,3,-500.0,Miami Heat,6,400.0,1,5.0
84,2018,Eastern,Round 1,Cleveland Cavaliers,4,-600.0,Indiana Pacers,5,450.0,1,7.0
85,2018,Western,Round 1,Houston Rockets,1,-3000.0,Minnesota Timberwolves,8,1500.0,1,5.0
86,2018,Western,Round 1,Golden State Warriors,2,-900.0,San Antonio Spurs,7,600.0,1,5.0
87,2018,Western,Round 1,Portland Trail Blazers,3,-220.0,New Orleans Pelicans,6,180.0,2,4.0
