Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
2020,Western,Round 1,Denver Nuggets,3,-285,Utah Jazz,6,+243,Denver Nuggets,4-3
2020,Western,Round 1,Houston Rockets,4,-160,Oklahoma City Thunder,5,+140,Houston Rockets,4-3
2019,,NBA Finals,Toronto Raptors,2,+230,Golden State Warriors,1,-270,Toronto Raptors,4-2
2019,Eastern,Conf Finals,Milwaukee Bucks,1,-270,Toronto Raptors,2,+230,Toronto Raptors,4-2
2019,Western,Conf Finals,Golden State Warriors,1,-550,Portland Trail Blazers,3,+425,Golden State Warriors,4-0
2019,Eastern,Conf Semis,Milwaukee Bucks,1,-360,Boston Celtics,4,+300,Milwaukee Bucks,4-1
2019,Eastern,Conf Semis,Toronto Raptors,2,-290,Philadelphia 76ers,3,+245,Toronto Raptors,4-3
2019,Western,Conf Semis,Golden State Warriors,1,-280,Houston Rockets,4,+240,Golden State Warriors,4-2
2019,Western,Conf Semis,Denver Nuggets,2,-145,Portland Trail Blazers,3,+125,Portland Trail Blazers,4-3
2019,Eastern,Round 1,Milwaukee Bucks,1,-3500,Detroit Pistons,8,+1750,Milwaukee Bucks,4-0
2019,Eastern,Round 1,Toronto Raptors,2,-1200,Orlando Magic,7,+775,Toronto Raptors,4-1
2019,Eastern,Round 1,Philadelphia 76ers,3,-600,Brooklyn Nets,6,+450,Philadelphia 76ers,4-1
2019,Eastern,Round 1,Boston Celtics,4,-465,Indiana Pacers,5,+370,Boston Celtics,4-0
2019,Western,Round 1,Golden State Warriors,1,-15000,Los Angeles Clippers,8,+6000,Golden State Warriors,4-2
2019,Western,Round 1,Denver Nuggets,2,-270,San Antonio Spurs,7,+230,Denver Nuggets,4-3
2019,Western,Round 1,Portland Trail Blazers,3,+145,Oklahoma City Thunder,6,-165,Portland Trail Blazers,4-1
2019,Western,Round 1,Houston Rockets,4,-310,Utah Jazz,5,+255,Houston Rockets,4-1
2018,,NBA Finals,Golden State Warriors,2,-1075,Cleveland Cavaliers,4,+688,Golden State Warriors,4-0
2018,Eastern,Conf Finals,Boston Celtics,2,+235,Cleveland Cavaliers,4,-275,Cleveland Cavaliers,4-3
2018,Western,Conf Finals,Houston Rockets,1,+170,Golden State Warriors,2,-200,Golden State Warriors,4-3
2018,Eastern,Conf Semis,Toronto Raptors,1,-190,Cleveland Cavaliers,4,+165,Cleveland Cavaliers,4-0
2018,Eastern,Conf Semis,Boston Celtics,2,+415,Philadelphia 76ers,3,-525,Boston Celtics,4-1
2018,Western,Conf Semis,Houston Rockets,1,-1500,Utah Jazz,5,+1000,Houston Rockets,4-1
2018,Western,Conf Semis,Golden State Warriors,2,-1050,New Orleans Pelicans,6,+675,Golden State Warriors,4-1
2018,Eastern,Round 1,Toronto Raptors,1,-630,Washington Wizards,8,+465,Toronto Raptors,4-2
2018,Eastern,Round 1,Boston Celtics,2,-150,Milwaukee Bucks,7,+130,Boston Celtics,4-3
2018,Eastern,Round 1,Philadelphia 76ers,3,-500,Miami Heat,6,+400,Philadelphia 76ers,4-1
2018,Eastern,Round 1,Cleveland Cavaliers,4,-600,Indiana Pacers,5,+450,Cleveland Cavaliers,4-3
2018,Western,Round 1,Houston Rockets,1,-3000,Minnesota Timberwolves,8,+1500,Houston Rockets,4-1
2018,Western,Round 1,Golden State Warriors,2,-900,San Antonio Spurs,7,+600,Golden State Warriors,4-1
2018,Western,Round 1,Portland Trail Blazers,3,-220,New Orleans Pelicans,6,+180,New Orleans Pelicans,4-0
2018,Western,Round 1,Oklahoma City Thunder,4,-140,Utah Jazz,5,+120,Utah Jazz,4-2
2017,,NBA Finals,Golden State Warriors,1,-300,Cleveland Cavaliers,2,+250,Golden State Warriors,4-1
2017,Eastern,Conf Finals,Boston Celtics,1,+500,Cleveland Cavaliers,2,-700,Cleveland Cavaliers,4-1
2017,Western,Conf Finals,Golden State Warriors,1,-1050,San Antonio Spurs,2,+675,Golden State Warriors,4-0
2017,Eastern,Conf Semis,Boston Celtics,1,-185,Washington Wizards,4,+160,Boston Celtics,4-3
2017,Eastern,Conf Semis,Cleveland Cavaliers,2,-475,Toronto Raptors,3,+380,Cleveland Cavaliers,4-0
2017,Western,Conf Semis,Golden State Warriors,1,-3200,Utah Jazz,5,+1600,Golden State Warriors,4-0
2017,Western,Conf Semis,San Antonio Spurs,2,-300,Houston Rockets,3,+250,San Antonio Spurs,4-2
2017,Eastern,Round 1,Boston Celtics,1,-470,Chicago Bulls,8,+375,Boston Celtics,4-2
2017,Eastern,Round 1,Cleveland Cavaliers,2,-1100,Indiana Pacers,7,+700,Cleveland Cavaliers,4-0
2017,Eastern,Round 1,Toronto Raptors,3,-440,Milwaukee Bucks,6,+350,Toronto Raptors,4-2
2017,Eastern,Round 1,Washington Wizards,4,-220,Atlanta Hawks,5,+180,Washington Wizards,4-2
2017,Western,Round 1,Golden State Warriors,1,-7000,Portland Trail Blazers,8,+3000,Golden State Warriors,4-0
2017,Western,Round 1,San Antonio Spurs,2,-1070,Memphis Grizzlies,7,+685,San Antonio Spurs,4-2
2017,Western,Round 1,Houston Rockets,3,-390,Oklahoma City Thunder,6,+320,Houston Rockets,4-1
2017,Western,Round 1,Los Angeles Clippers,4,-245,Utah Jazz,5,+205,Utah Jazz,4-3
2016,,NBA Finals,Golden State Warriors,1,-220,Cleveland Cavaliers,1,+180,Cleveland Cavaliers,4-3
2016,Eastern,Conf Finals,Cleveland Cavaliers,1,-1350,Toronto Raptors,2,+885,Cleveland Cavaliers,4-2
2016,Western,Conf Finals,Golden State Warriors,1,-430,Oklahoma City Thunder,3,+345,Golden State Warriors,4-3
2016,Eastern,Conf Semis,Cleveland Cavaliers,1,-500,Atlanta Hawks,4,+400,Cleveland Cavaliers,4-0
2016,Eastern,Conf Semis,Toronto Raptors,2,-145,Miami Heat,3,+125,Toronto Raptors,4-3
2016,Western,Conf Semis,Golden State Warriors,1,-1600,Portland Trail Blazers,5,+1050,Golden State Warriors,4-1
2016,Western,Conf Semis,San Antonio Spurs,2,-270,Oklahoma City Thunder,3,+230,Oklahoma City Thunder,4-2
2016,Eastern,Round 1,Cleveland Cavaliers,1,-1700,Detroit Pistons,8,+1100,Cleveland Cavaliers,4-0
2016,Eastern,Round 1,Toronto Raptors,2,-400,Indiana Pacers,7,+325,Toronto Raptors,4-3
2016,Eastern,Round 1,Miami Heat,3,-170,Charlotte Hornets,6,+150,Miami Heat,4-3
2016,Eastern,Round 1,Atlanta Hawks,4,-165,Boston Celtics,5,+145,Atlanta Hawks,4-2
2016,Western,Round 1,Golden State Warriors,1,-10000,Houston Rockets,8,+4000,Golden State Warriors,4-1
2016,Western,Round 1,San Antonio Spurs,2,-17000,Memphis Grizzlies,7,+6625,San Antonio Spurs,4-0
2016,Western,Round 1,Oklahoma City Thunder,3,-3500,Dallas Mavericks,6,+1750,Oklahoma City Thunder,4-1
2016,Western,Round 1,Los Angeles Clippers,4,-525,Portland Trail Blazers,5,+415,Portland Trail Blazers,4-2
2015,,NBA Finals,Golden State Warriors,1,-220,Cleveland Cavaliers,2,+190,Golden State Warriors,4-2
