Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,Result
2007,Eastern,Round 1,Cleveland Cavaliers,2,-2400,Washington Wizards,7,+1600,Cleveland Cavaliers,4-0
2007,Eastern,Round 1,Toronto Raptors,3,-165,New Jersey Nets,6,+145,New Jersey Nets,4-2
2007,Eastern,Round 1,Chicago Bulls,5,-140,Miami Heat,4,+120,Chicago Bulls,4-0
2007,Western,Round 1,Dallas Mavericks,1,-1800,Golden State Warriors,8,+1200,Golden State Warriors,4-2
2007,Western,Round 1,Phoenix Suns,2,-1600,Los Angeles Lakers,7,+1000,Phoenix Suns,4-1
2007,Western,Round 1,San Antonio Spurs,3,-750,Denver Nuggets,6,+550,San Antonio Spurs,4-1
2007,Western,Round 1,Houston Rockets,5,-240,Utah Jazz,4,+200,Utah Jazz,4-3
2006,,NBA Finals,Dallas Mavericks,4,-150,Miami Heat,2,+130,Miami Heat,4-2
2006,Eastern,Conf Finals,Detroit Pistons,1,-245,Miami Heat,2,+205,Miami Heat,4-2
2006,Western,Conf Finals,Dallas Mavericks,4,-355,Phoenix Suns,2,+295,Dallas Mavericks,4-2
2006,Eastern,Conf Semis,Detroit Pistons,1,-2000,Cleveland Cavaliers,4,+1200,Detroit Pistons,4-2
2006,Eastern,Conf Semis,Miami Heat,2,-190,New Jersey Nets,3,+160,Miami Heat,4-1
2006,Western,Conf Semis,San Antonio Spurs,1,-180,Dallas Mavericks,4,+150,Dallas Mavericks,4-3
2006,Western,Conf Semis,Phoenix Suns,2,-205,Los Angeles Clippers,6,+185,Phoenix Suns,4-3
2006,Eastern,Round 1,Detroit Pistons,1,-5500,Milwaukee Bucks,8,+3250,Detroit Pistons,4-1
2006,Eastern,Round 1,Miami Heat,2,-850,Chicago Bulls,7,+625,Miami Heat,4-2
2006,Eastern,Round 1,New Jersey Nets,3,-325,Indiana Pacers,6,+275,New Jersey Nets,4-2
2006,Eastern,Round 1,Cleveland Cavaliers,4,-180,Washington Wizards,5,+160,Cleveland Cavaliers,4-2
2006,Western,Round 1,San Antonio Spurs,1,-1050,Sacramento Kings,8,+725,San Antonio Spurs,4-2
2006,Western,Round 1,Phoenix Suns,2,-360,Los Angeles Lakers,7,+300,Phoenix Suns,4-3
2006,Western,Round 1,Dallas Mavericks,4,-725,Memphis Grizzlies,5,+525,Dallas Mavericks,4-0
2006,Western,Round 1,Los Angeles Clippers,6,-185,Denver Nuggets,3,+145,Los Angeles Clippers,4-1
2005,,NBA Finals,San Antonio Spurs,2,-250,Detroit Pistons,2,+200,San Antonio Spurs,4-3
2005,Eastern,Conf Finals,Miami Heat,1,-130,Detroit Pistons,2,+110,Detroit Pistons,4-3
2005,Western,Conf Finals,Phoenix Suns,1,+140,San Antonio Spurs,2,-160,San Antonio Spurs,4-1
2005,Eastern,Conf Semis,Miami Heat,1,-1800,Washington Wizards,5,+1200,Miami Heat,4-0
2005,Eastern,Conf Semis,Detroit Pistons,2,-1100,Indiana Pacers,6,+700,Detroit Pistons,4-2
2005,Western,Conf Semis,Phoenix Suns,1,-300,Dallas Mavericks,4,+220,Phoenix Suns,4-2
2005,Western,Conf Semis,San Antonio Spurs,2,-1200,Seattle SuperSonics,3,+800,San Antonio Spurs,4-2
2005,Eastern,Round 1,Miami Heat,1,-1200,New Jersey Nets,8,+800,Miami Heat,4-0
2005,Eastern,Round 1,Detroit Pistons,2,-1200,Philadelphia 76ers,7,+800,Detroit Pistons,4-1
2005,Eastern,Round 1,Boston Celtics,3,-135,Indiana Pacers,6,+115,Indiana Pacers,4-3
2005,Eastern,Round 1,Chicago Bulls,4,-145,Washington Wizards,5,+125,Washington Wizards,4-2
2005,Western,Round 1,Phoenix Suns,1,-1200,Memphis Grizzlies,8,+800,Phoenix Suns,4-0
2005,Western,Round 1,San Antonio Spurs,2,-500,Denver Nuggets,7,+400,San Antonio Spurs,4-1
2005,Western,Round 1,Seattle SuperSonics,3,+100,Sacramento Kings,6,-120,Seattle SuperSonics,4-1
2005,Western,Round 1,Dallas Mavericks,4,-220,Houston Rockets,5,+180,Dallas Mavericks,4-3
2004,,NBA Finals,Los Angeles Lakers,2,-700,Detroit Pistons,3,+500,Detroit Pistons,4-1
2004,Eastern,Conf Finals,Indiana Pacers,1,-165,Detroit Pistons,3,+145,Detroit Pistons,4-2
2004,Western,Conf Finals,Minnesota Timberwolves,1,+270,Los Angeles Lakers,2,-330,Los Angeles Lakers,4-2
2004,Eastern,Conf Semis,Indiana Pacers,1,-2200,Miami Heat,4,+1500,Indiana Pacers,4-2
2004,Eastern,Conf Semis,Detroit Pistons,3,-180,New Jersey Nets,2,+160,Detroit Pistons,4-3
2004,Western,Conf Semis,Minnesota Timberwolves,1,-220,Sacramento Kings,4,+170,Minnesota Timberwolves,4-3
2004,Western,Conf Semis,San Antonio Spurs,3,-140,Los Angeles Lakers,2,+120,Los Angeles Lakers,4-2
2004,Eastern,Round 1,Indiana Pacers,1,-1980,Boston Celtics,8,+1520,Indiana Pacers,4-0
2004,Eastern,Round 1,New Jersey Nets,2,-580,New York Knicks,7,+500,New Jersey Nets,4-0
2004,Eastern,Round 1,Detroit Pistons,3,-1780,Milwaukee Bucks,6,+1430,Detroit Pistons,4-1
2004,Eastern,Round 1,Miami Heat,4,-277,New Orleans Hornets,5,+243,Miami Heat,4-3
2004,Western,Round 1,Minnesota Timberwolves,1,-1920,Denver Nuggets,8,+1540,Minnesota Timberwolves,4-1
2004,Western,Round 1,Los Angeles Lakers,2,-1080,Houston Rockets,7,+920,Los Angeles Lakers,4-1
2004,Western,Round 1,San Antonio Spurs,3,-1080,Memphis Grizzlies,6,+920,San Antonio Spurs,4-0
2004,Western,Round 1,Sacramento Kings,4,-164,Dallas Mavericks,5,+148,Sacramento Kings,4-1
2003,,NBA Finals,San Antonio Spurs,1,-330,New Jersey Nets,2,+260,San Antonio Spurs,4-2
2003,Eastern,Conf Finals,Detroit Pistons,1,+250,New Jersey Nets,2,-300,New Jersey Nets,4-0
2003,Western,Conf Finals,San Antonio Spurs,1,-380,Dallas Mavericks,3,+320,San Antonio Spurs,4-2
2003,Eastern,Conf Semis,Detroit Pistons,1,+130,Philadelphia 76ers,4,-150,Detroit Pistons,4-2
2003,Eastern,Conf Semis,New Jersey Nets,2,-380,Boston Celtics,6,+320,New Jersey Nets,4-0
2003,Western,Conf Semis,San Antonio Spurs,1,+125,Los Angeles Lakers,5,-145,San Antonio Spurs,4-2
2003,Western,Conf Semis,Dallas Mavericks,3,+240,Sacramento Kings,2,-280,Dallas Mavericks,4-3
2003,Eastern,Round 1,Detroit Pistons,1,-220,Orlando Magic,8,+180,Detroit Pistons,4-3
2003,Eastern,Round 1,New Jersey Nets,2,-280,Milwaukee Bucks,7,+230,New Jersey Nets,4-2
2003,Eastern,Round 1,Indiana Pacers,3,-340,Boston Celtics,6,+280,Boston Celtics,4-2
2003,Eastern,Round 1,Philadelphia 76ers,4,-179,New Orleans Hornets,5,+150,Philadelphia 76ers,4-2
2003,Western,Round 1,San Antonio Spurs,1,-1000,Phoenix Suns,8,+700,San Antonio Spurs,4-2
2003,Western,Round 1,Sacramento Kings,2,-1400,Utah Jazz,7,+1000,Sacramento Kings,4-1
2003,Western,Round 1,Dallas Mavericks,3,-400,Portland Trail Blazers,6,+320,Dallas Mavericks,4-3
2003,Western,Round 1,Minnesota Timberwolves,4,+320,Los Angeles Lakers,5,-400,Los Angeles Lakers,4-2
2002,,NBA Finals,Los Angeles Lakers,3,-750,New Jersey Nets,1,+550,Los Angeles Lakers,4-0
2002,Eastern,Conf Finals,New Jersey Nets,1,-135,Boston Celtics,3,+115,New Jersey Nets,4-2
2002,Western,Conf Finals,Sacramento Kings,1,+190,Los Angeles Lakers,3,-230,Los Angeles Lakers,4-3
2002,Eastern,Conf Semis,New Jersey Nets,1,-160,Charlotte Hornets,4,+140,New Jersey Nets,4-1
2002,Eastern,Conf Semis,Detroit Pistons,2,-125,Boston Celtics,3,+105,Boston Celtics,4-1
2002,Western,Conf Semis,Sacramento Kings,1,-155,Dallas Mavericks,4,+135,Sacramento Kings,4-1
2002,Western,Conf Semis,Los Angeles Lakers,3,-650,San Antonio Spurs,2,+450,Los Angeles Lakers,4-1
2002,Eastern,Round 1,New Jersey Nets,1,-400,Indiana Pacers,8,+300,New Jersey Nets,3-2
2002,Eastern,Round 1,Detroit Pistons,2,-450,Toronto Raptors,7,+325,Detroit Pistons,3-2
2002,Eastern,Round 1,Boston Celtics,3,-200,Philadelphia 76ers,6,+170,Boston Celtics,3-2
2002,Eastern,Round 1,Charlotte Hornets,4,-300,Orlando Magic,5,+250,Charlotte Hornets,3-1
2002,Western,Round 1,Sacramento Kings,1,-2000,Utah Jazz,8,+1400,Sacramento Kings,3-1
2002,Western,Round 1,San Antonio Spurs,2,-750,Seattle SuperSonics,7,+550,San Antonio Spurs,3-2
2002,Western,Round 1,Los Angeles Lakers,3,-600,Portland Trail Blazers,6,+450,Los Angeles Lakers,3-0
2002,Western,Round 1,Dallas Mavericks,4,-500,Minnesota Timberwolves,5,+400,Dallas Mavericks,3-0
2001,,NBA Finals,Los Angeles Lakers,2,-2000,Philadelphia 76ers,1,+1600,Los Angeles Lakers,4-1
2001,Eastern,Conf Finals,Philadelphia 76ers,1,-180,Milwaukee Bucks,2,+160,Philadelphia 76ers,4-3
2001,Western,Conf Finals,San Antonio Spurs,1,+125,Los Angeles Lakers,2,-145,Los Angeles Lakers,4-0
2001,Eastern,Conf Semis,Philadelphia 76ers,1,-340,Toronto Raptors,5,+280,Philadelphia 76ers,4-3
2001,Eastern,Conf Semis,Milwaukee Bucks,2,-230,Charlotte Hornets,6,+190,Milwaukee Bucks,4-3
2001,Western,Conf Semis,San Antonio Spurs,1,-650,Dallas Mavericks,5,+450,San Antonio Spurs,4-1
2001,Western,Conf Semis,Los Angeles Lakers,2,-360,Sacramento Kings,3,+290,Los Angeles Lakers,4-0
2001,Eastern,Round 1,Philadelphia 76ers,1,-600,Indiana Pacers,8,+400,Philadelphia 76ers,3-1
2001,Eastern,Round 1,Milwaukee Bucks,2,-500,Orlando Magic,7,+350,Milwaukee Bucks,3-1
2001,Eastern,Round 1,Miami Heat,3,-180,Charlotte Hornets,6,+160,Charlotte Hornets,3-0
2001,Eastern,Round 1,New York Knicks,4,-170,Toronto Raptors,5,+150,Toronto Raptors,3-2
2001,Western,Round 1,San Antonio Spurs,1,-900,Minnesota Timberwolves,8,+600,San Antonio Spurs,3-1
2001,Western,Round 1,Los Angeles Lakers,2,-400,Portland Trail Blazers,7,+300,Los Angeles Lakers,3-0
2001,Western,Round 1,Sacramento Kings,3,-400,Phoenix Suns,6,+300,Sacramento Kings,3-1
2001,Western,Round 1,Utah Jazz,4,-180,Dallas Mavericks,5,+160,Dallas Mavericks,3-2
2000,,NBA Finals,Los Angeles Lakers,1,-800,Indiana Pacers,1,+550,Los Angeles Lakers,4-2
2000,Eastern,Conf Finals,Indiana Pacers,1,-260,New York Knicks,3,+220,Indiana Pacers,4-2
2000,Western,Conf Finals,Los Angeles Lakers,1,-340,Portland Trail Blazers,3,+280,Los Angeles Lakers,4-3
2000,Eastern,Conf Semis,Indiana Pacers,1,-185,Philadelphia 76ers,5,+165,Indiana Pacers,4-2
2000,Eastern,Conf Semis,Miami Heat,2,-155,New York Knicks,3,+135,New York Knicks,4-3
2000,Western,Conf Semis,Los Angeles Lakers,1,-2200,Phoenix Suns,5,+1500,Los Angeles Lakers,4-1
2000,Western,Conf Semis,Portland Trail Blazers,3,-240,Utah Jazz,2,+190,Portland Trail Blazers,4-1
2000,Eastern,Round 1,Indiana Pacers,1,-800,Milwaukee Bucks,8,+550,Indiana Pacers,3-2
2000,Eastern,Round 1,Miami Heat,2,N/A,Detroit Pistons,7,N/A,Miami Heat,3-0
2000,Eastern,Round 1,New York Knicks,3,-230,Toronto Raptors,6,+190,New York Knicks,3-0
2000,Eastern,Round 1,Charlotte Hornets,4,-140,Philadelphia 76ers,5,+120,Philadelphia 76ers,3-1
2000,Western,Round 1,Los Angeles Lakers,1,-2000,Sacramento Kings,8,+1200,Los Angeles Lakers,3-2
2000,Western,Round 1,Utah Jazz,2,-650,Seattle SuperSonics,7,+450,Utah Jazz,3-2
2000,Western,Round 1,Portland Trail Blazers,3,-330,Minnesota Timberwolves,6,+250,Portland Trail Blazers,3-1
2000,Western,Round 1,San Antonio Spurs,4,N/A,Phoenix Suns,5,N/A,Phoenix Suns,3-1
1999,,NBA Finals,San Antonio Spurs,1,-900,New York Knicks,8,+600,San Antonio Spurs,4-1
1999,Eastern,Conf Finals,Indiana Pacers,2,-240,New York Knicks,8,+200,New York Knicks,4-2
1999,Western,Conf Finals,San Antonio Spurs,1,-200,Portland Trail Blazers,2,+170,San Antonio Spurs,4-0
1999,Eastern,Conf Semis,Indiana Pacers,2,-400,Philadelphia 76ers,6,+300,Indiana Pacers,4-0
1999,Eastern,Conf Semis,Atlanta Hawks,4,-135,New York Knicks,8,+115,New York Knicks,4-0
1999,Western,Conf Semis,San Antonio Spurs,1,-220,Los Angeles Lakers,4,+180,San Antonio Spurs,4-0
1999,Western,Conf Semis,Utah Jazz,3,-125,Portland Trail Blazers,2,+105,Portland Trail Blazers,4-2
1999,Eastern,Round 1,Miami Heat,1,-280,New York Knicks,8,+230,New York Knicks,3-2
1999,Eastern,Round 1,Indiana Pacers,2,-400,Milwaukee Bucks,7,+300,Indiana Pacers,3-0
1999,Eastern,Round 1,Orlando Magic,3,-210,Philadelphia 76ers,6,+175,Philadelphia 76ers,3-1
1999,Eastern,Round 1,Atlanta Hawks,4,-160,Detroit Pistons,5,+140,Atlanta Hawks,3-2
1999,Western,Round 1,San Antonio Spurs,1,-1500,Minnesota Timberwolves,8,+1000,San Antonio Spurs,3-1
1999,Western,Round 1,Portland Trail Blazers,2,-500,Phoenix Suns,7,+350,Portland Trail Blazers,3-0
1999,Western,Round 1,Utah Jazz,3,-1000,Sacramento Kings,6,+700,Utah Jazz,3-2
1999,Western,Round 1,Los Angeles Lakers,4,-165,Houston Rockets,5,+145,Los Angeles Lakers,3-1
1998,,NBA Finals,Utah Jazz,1,+105,Chicago Bulls,1,-125,Chicago Bulls,4-2
1998,Eastern,Conf Finals,Chicago Bulls,1,-600,Indiana Pacers,3,+400,Chicago Bulls,4-3
1998,Western,Conf Finals,Utah Jazz,1,+110,Los Angeles Lakers,3,-130,Utah Jazz,4-0
1998,Eastern,Conf Semis,Chicago Bulls,1,-2000,Charlotte Hornets,4,+1400,Chicago Bulls,4-1
1998,Eastern,Conf Semis,Indiana Pacers,3,-1100,New York Knicks,7,+700,Indiana Pacers,4-1
1998,Western,Conf Semis,Utah Jazz,1,-270,San Antonio Spurs,5,+210,Utah Jazz,4-1
1998,Western,Conf Semis,Seattle SuperSonics,2,-105,Los Angeles Lakers,3,-115,Los Angeles Lakers,4-1
1998,Eastern,Round 1,Chicago Bulls,1,-2500,New Jersey Nets,8,+1800,Chicago Bulls,3-0
1998,Eastern,Round 1,Miami Heat,2,-500,New York Knicks,7,+350,New York Knicks,3-2
1998,Eastern,Round 1,Indiana Pacers,3,-450,Cleveland Cavaliers,6,+325,Indiana Pacers,3-1
1998,Eastern,Round 1,Charlotte Hornets,4,-120,Atlanta Hawks,5,+100,Charlotte Hornets,3-1
1998,Western,Round 1,Utah Jazz,1,-850,Houston Rockets,8,+525,Utah Jazz,3-2
1998,Western,Round 1,Seattle SuperSonics,2,-2000,Minnesota Timberwolves,7,+1400,Seattle SuperSonics,3-2
1998,Western,Round 1,Los Angeles Lakers,3,-550,Portland Trail Blazers,6,+375,Los Angeles Lakers,3-1
1998,Western,Round 1,Phoenix Suns,4,-135,San Antonio Spurs,5,+115,San Antonio Spurs,3-1
1997,,NBA Finals,Chicago Bulls,1,-600,Utah Jazz,1,+400,Chicago Bulls,4-2
1997,Eastern,Conf Finals,Chicago Bulls,1,-1700,Miami Heat,2,+1100,Chicago Bulls,4-1
1997,Western,Conf Finals,Utah Jazz,1,-220,Houston Rockets,3,+180,Utah Jazz,4-2
1997,Eastern,Conf Semis,Chicago Bulls,1,-1700,Atlanta Hawks,4,+1100,Chicago Bulls,4-1
1997,Eastern,Conf Semis,Miami Heat,2,-145,New York Knicks,3,+125,Miami Heat,4-3
1997,Western,Conf Semis,Utah Jazz,1,-270,Los Angeles Lakers,4,+210,Utah Jazz,4-1
1997,Western,Conf Semis,Houston Rockets,3,-130,Seattle SuperSonics,2,+110,Houston Rockets,4-3
1997,Eastern,Round 1,Chicago Bulls,1,-2500,Washington Bullets,8,+1800,Chicago Bulls,3-0
1997,Eastern,Round 1,Miami Heat,2,-400,Orlando Magic,7,+300,Miami Heat,3-2
1997,Eastern,Round 1,New York Knicks,3,-250,Charlotte Hornets,6,+200,New York Knicks,3-0
1997,Eastern,Round 1,Atlanta Hawks,4,-170,Detroit Pistons,5,+150,Atlanta Hawks,3-2
1997,Western,Round 1,Utah Jazz,1,-3300,Los Angeles Clippers,8,+2200,Utah Jazz,3-0
1997,Western,Round 1,Seattle SuperSonics,2,-650,Phoenix Suns,7,+450,Seattle SuperSonics,3-2
1997,Western,Round 1,Houston Rockets,3,-1300,Minnesota Timberwolves,6,+800,Houston Rockets,3-0
1997,Western,Round 1,Los Angeles Lakers,4,-330,Portland Trail Blazers,5,+250,Los Angeles Lakers,3-1
1996,,NBA Finals,Chicago Bulls,1,-950,Seattle SuperSonics,2,+650,Chicago Bulls,4-2
1996,Eastern,Conf Finals,Chicago Bulls,1,-500,Orlando Magic,2,+350,Chicago Bulls,4-0
1996,Western,Conf Finals,Seattle SuperSonics,1,-270,Utah Jazz,3,+210,Seattle SuperSonics,4-3
1996,Eastern,Conf Semis,Chicago Bulls,1,-3500,New York Knicks,5,+2200,Chicago Bulls,4-1
1996,Eastern,Conf Semis,Orlando Magic,2,-1800,Atlanta Hawks,6,+1400,Orlando Magic,4-1
1996,Western,Conf Semis,Seattle SuperSonics,1,-200,Houston Rockets,5,+170,Seattle SuperSonics,4-0
1996,Western,Conf Semis,San Antonio Spurs,2,-220,Utah Jazz,3,+180,Utah Jazz,4-2
1996,Eastern,Round 1,Chicago Bulls,1,-2500,Miami Heat,8,+1800,Chicago Bulls,3-0
1996,Eastern,Round 1,Orlando Magic,2,-1500,Detroit Pistons,7,+1000,Orlando Magic,3-0
1996,Eastern,Round 1,Indiana Pacers,3,-140,Atlanta Hawks,6,+120,Atlanta Hawks,3-2
1996,Eastern,Round 1,Cleveland Cavaliers,4,-185,New York Knicks,5,+165,New York Knicks,3-0
1996,Western,Round 1,Seattle SuperSonics,1,-2200,Sacramento Kings,8,+1500,Seattle SuperSonics,3-1
1996,Western,Round 1,San Antonio Spurs,2,-500,Phoenix Suns,7,+350,San Antonio Spurs,3-1
1996,Western,Round 1,Utah Jazz,3,-400,Portland Trail Blazers,6,+300,Utah Jazz,3-2
1996,Western,Round 1,Los Angeles Lakers,4,-145,Houston Rockets,5,+125,Houston Rockets,3-1
1995,,NBA Finals,Orlando Magic,1,-150,Houston Rockets,6,+130,Houston Rockets,4-0
1995,Eastern,Conf Finals,Orlando Magic,1,-200,Indiana Pacers,2,+170,Orlando Magic,4-3
1995,Western,Conf Finals,San Antonio Spurs,1,-330,Houston Rockets,6,+250,Houston Rockets,4-2
1995,Eastern,Conf Semis,Orlando Magic,1,+165,Chicago Bulls,5,-185,Orlando Magic,4-2
1995,Eastern,Conf Semis,New York Knicks,3,-140,Indiana Pacers,2,+120,Indiana Pacers,4-3
1995,Western,Conf Semis,San Antonio Spurs,1,-600,Los Angeles Lakers,5,+400,San Antonio Spurs,4-2
1995,Western,Conf Semis,Phoenix Suns,2,-270,Houston Rockets,6,+210,Houston Rockets,4-3
1995,Eastern,Round 1,Orlando Magic,1,-950,Boston Celtics,8,+650,Orlando Magic,3-1
1995,Eastern,Round 1,Indiana Pacers,2,-360,Atlanta Hawks,7,+280,Indiana Pacers,3-0
1995,Eastern,Round 1,New York Knicks,3,-400,Cleveland Cavaliers,6,+300,New York Knicks,3-1
1995,Eastern,Round 1,Charlotte Hornets,4,+280,Chicago Bulls,5,-360,Chicago Bulls,3-1
1995,Western,Round 1,San Antonio Spurs,1,-600,Denver Nuggets,8,+400,San Antonio Spurs,3-0
1995,Western,Round 1,Phoenix Suns,2,-400,Portland Trail Blazers,7,+300,Phoenix Suns,3-0
1995,Western,Round 1,Utah Jazz,3,-270,Houston Rockets,6,+210,Houston Rockets,3-2
1995,Western,Round 1,Seattle SuperSonics,4,-400,Los Angeles Lakers,5,+300,Los Angeles Lakers,3-1
1994,,NBA Finals,Houston Rockets,2,-220,New York Knicks,2,+180,Houston Rockets,4-3
1994,Eastern,Conf Finals,New York Knicks,2,-200,Indiana Pacers,5,+170,New York Knicks,4-3
1994,Western,Conf Finals,Houston Rockets,2,-270,Utah Jazz,5,+210,Houston Rockets,4-1
1994,Eastern,Conf Semis,Atlanta Hawks,1,-160,Indiana Pacers,5,+140,Indiana Pacers,4-2
1994,Eastern,Conf Semis,New York Knicks,2,-180,Chicago Bulls,3,+160,New York Knicks,4-3
1994,Western,Conf Semis,Houston Rockets,2,-120,Phoenix Suns,3,+100,Houston Rockets,4-3
1994,Western,Conf Semis,Utah Jazz,5,-650,Denver Nuggets,8,+450,Utah Jazz,4-3
1994,Eastern,Round 1,Atlanta Hawks,1,-360,Miami Heat,8,+280,Atlanta Hawks,3-2
1994,Eastern,Round 1,New York Knicks,2,-360,New Jersey Nets,7,+280,New York Knicks,3-1
1994,Eastern,Round 1,Chicago Bulls,3,-250,Cleveland Cavaliers,6,+200,Chicago Bulls,3-0
1994,Eastern,Round 1,Orlando Magic,4,-170,Indiana Pacers,5,+150,Indiana Pacers,3-0
1994,Western,Round 1,Seattle SuperSonics,1,-2000,Denver Nuggets,8,+1400,Denver Nuggets,3-2
1994,Western,Round 1,Houston Rockets,2,-270,Portland Trail Blazers,7,+210,Houston Rockets,3-1
1994,Western,Round 1,Phoenix Suns,3,-360,Golden State Warriors,6,+280,Phoenix Suns,3-0
1994,Western,Round 1,San Antonio Spurs,4,-200,Utah Jazz,5,+170,Utah Jazz,3-1
1993,,NBA Finals,Phoenix Suns,1,+190,Chicago Bulls,2,-240,Chicago Bulls,4-2
1993,Eastern,Conf Finals,New York Knicks,1,+130,Chicago Bulls,2,-150,Chicago Bulls,4-2
1993,Western,Conf Finals,Phoenix Suns,1,-330,Seattle SuperSonics,3,+250,Phoenix Suns,4-3
1993,Eastern,Conf Semis,New York Knicks,1,N/A,Charlotte Hornets,5,N/A,New York Knicks,4-1
1993,Eastern,Conf Semis,Chicago Bulls,2,-500,Cleveland Cavaliers,3,+350,Chicago Bulls,4-0
1993,Western,Conf Semis,Phoenix Suns,1,-650,San Antonio Spurs,5,+450,Phoenix Suns,4-2
1993,Western,Conf Semis,Seattle SuperSonics,3,-135,Houston Rockets,2,+115,Seattle SuperSonics,4-3
1993,Eastern,Round 1,New York Knicks,1,-900,Indiana Pacers,8,+600,New York Knicks,3-1
1993,Eastern,Round 1,Chicago Bulls,2,-1200,Atlanta Hawks,7,+800,Chicago Bulls,3-0
1993,Eastern,Round 1,Cleveland Cavaliers,3,-700,New Jersey Nets,6,+500,Cleveland Cavaliers,3-2
1993,Eastern,Round 1,Boston Celtics,4,-165,Charlotte Hornets,5,+145,Charlotte Hornets,3-1
1993,Western,Round 1,Phoenix Suns,1,-3000,Los Angeles Lakers,8,+2000,Phoenix Suns,3-2
1993,Western,Round 1,Houston Rockets,2,-600,Los Angeles Clippers,7,+400,Houston Rockets,3-2
1993,Western,Round 1,Seattle SuperSonics,3,-350,Utah Jazz,6,+275,Seattle SuperSonics,3-2
1993,Western,Round 1,Portland Trail Blazers,4,-250,San Antonio Spurs,5,+200,San Antonio Spurs,3-1
1992,,NBA Finals,Chicago Bulls,1,-250,Portland Trail Blazers,1,+200,Chicago Bulls,4-2
1992,Eastern,Conf Finals,Chicago Bulls,1,-650,Cleveland Cavaliers,3,+450,Chicago Bulls,4-2
1992,Western,Conf Finals,Portland Trail Blazers,1,-360,Utah Jazz,2,+280,Portland Trail Blazers,4-2
1992,Eastern,Conf Semis,Chicago Bulls,1,-2500,New York Knicks,4,+1700,Chicago Bulls,4-3
1992,Eastern,Conf Semis,Cleveland Cavaliers,3,-170,Boston Celtics,2,+130,Cleveland Cavaliers,4-3
1992,Western,Conf Semis,Portland Trail Blazers,1,-500,Phoenix Suns,4,+350,Portland Trail Blazers,4-1
1992,Western,Conf Semis,Utah Jazz,2,-200,Seattle SuperSonics,6,+160,Utah Jazz,4-1
1992,Eastern,Round 1,Chicago Bulls,1,-10000,Miami Heat,8,+7500,Chicago Bulls,3-0
1992,Eastern,Round 1,Boston Celtics,2,-550,Indiana Pacers,7,+350,Boston Celtics,3-0
1992,Eastern,Round 1,Cleveland Cavaliers,3,-850,New Jersey Nets,6,+550,Cleveland Cavaliers,3-1
1992,Eastern,Round 1,New York Knicks,4,-160,Detroit Pistons,5,+120,New York Knicks,3-2
1992,Western,Round 1,Portland Trail Blazers,1,-2000,Los Angeles Lakers,8,+1500,Portland Trail Blazers,3-1
1992,Western,Round 1,Utah Jazz,2,-450,Los Angeles Clippers,7,+325,Utah Jazz,3-2
1992,Western,Round 1,Golden State Warriors,3,-270,Seattle SuperSonics,6,+210,Seattle SuperSonics,3-1
1992,Western,Round 1,Phoenix Suns,4,-1500,San Antonio Spurs,5,+1000,Phoenix Suns,3-0
1991,,NBA Finals,Chicago Bulls,1,-200,Los Angeles Lakers,3,+170,Chicago Bulls,4-1
1991,Eastern,Conf Finals,Chicago Bulls,1,-270,Detroit Pistons,3,+210,Chicago Bulls,4-0
1991,Western,Conf Finals,Portland Trail Blazers,1,-190,Los Angeles Lakers,3,+150,Los Angeles Lakers,4-2
1991,Eastern,Conf Semis,Chicago Bulls,1,-500,Philadelphia 76ers,5,+350,Chicago Bulls,4-1
1991,Eastern,Conf Semis,Boston Celtics,2,-270,Detroit Pistons,3,+210,Detroit Pistons,4-2
1991,Western,Conf Semis,Portland Trail Blazers,1,-650,Utah Jazz,5,+450,Portland Trail Blazers,4-1
1991,Western,Conf Semis,Los Angeles Lakers,3,-800,Golden State Warriors,7,+550,Los Angeles Lakers,4-1
1991,Eastern,Round 1,Chicago Bulls,1,-1200,New York Knicks,8,+800,Chicago Bulls,3-0
1991,Eastern,Round 1,Boston Celtics,2,-900,Indiana Pacers,7,+600,Boston Celtics,3-2
1991,Eastern,Round 1,Detroit Pistons,3,-400,Atlanta Hawks,6,+300,Detroit Pistons,3-2
1991,Eastern,Round 1,Milwaukee Bucks,4,-180,Philadelphia 76ers,5,+140,Philadelphia 76ers,3-0
1991,Western,Round 1,Portland Trail Blazers,1,-1200,Seattle SuperSonics,8,+800,Portland Trail Blazers,3-2
1991,Western,Round 1,San Antonio Spurs,2,-500,Golden State Warriors,7,+350,Golden State Warriors,3-1
1991,Western,Round 1,Los Angeles Lakers,3,-360,Houston Rockets,6,+280,Los Angeles Lakers,3-0
1991,Western,Round 1,Phoenix Suns,4,-360,Utah Jazz,5,+280,Utah Jazz,3-1
1990,,NBA Finals,Detroit Pistons,1,-400,Portland Trail Blazers,3,+300,Detroit Pistons,4-1
1990,Eastern,Conf Finals,Detroit Pistons,1,-280,Chicago Bulls,3,+220,Detroit Pistons,4-3
1990,Western,Conf Finals,Portland Trail Blazers,3,+100,Phoenix Suns,5,-120,Portland Trail Blazers,4-2
1990,Eastern,Conf Semis,Detroit Pistons,1,-1500,New York Knicks,5,+1000,Detroit Pistons,4-1
1990,Eastern,Conf Semis,Chicago Bulls,3,-160,Philadelphia 76ers,2,+140,Chicago Bulls,4-1
1990,Western,Conf Semis,Los Angeles Lakers,1,-700,Phoenix Suns,5,+500,Phoenix Suns,4-1
